date,value
3/12/2020,13814.943
4/12/2020,13575.305
5/12/2020,13726.69
6/12/2020,3010.63
7/12/2020,11919.029
8/12/2020,12838.092
9/12/2020,13772.31
10/12/2020,11143.239
11/12/2020,13080.311
12/12/2020,9908.135
13/12/2020,13785.787
14/12/2020,1033.589
15/12/2020,13785.787
16/12/2020,13685.949
17/12/2020,14134.77
18/12/2020,14304.868
19/12/2020,13773.272
20/12/2020,704.173
21/12/2020,14315.767
22/12/2020,14199.155
23/12/2020,14655.433
24/12/2020,13673.882
25/12/2020,13822.056
26/12/2020,12274.307
27/12/2020,13786.052
28/12/2020,13785.787
29/12/2020,13785.787
30/12/2020,10911.106
31/12/2020,11409.118
1/1/2021,13785.851
2/1/2021,13297.952
3/1/2021,13772.691
4/1/2021,13785.943
5/1/2021,13760.886
6/1/2021,13784.367
7/1/2021,14169.032
8/1/2021,13638.086
9/1/2021,13785.787
10/1/2021,13613.465
11/1/2021,13768.978
12/1/2021,13785.787
13/1/2021,12692.407
14/1/2021,13785.787
15/1/2021,13667.574
16/1/2021,13710.285
17/1/2021,13821.622
18/1/2021,13785.787
19/1/2021,0.138
20/1/2021,13146.236
21/1/2021,13505.073
22/1/2021,13304.973
23/1/2021,13785.545
24/1/2021,12259.717
25/1/2021,13475.479
26/1/2021,13938.382
27/1/2021,13668.608
28/1/2021,13646.551
29/1/2021,13869.508
30/1/2021,13785.787
31/1/2021,13812.835
1/2/2021,13785.945
2/2/2021,13368.961
3/2/2021,14150.203
4/2/2021,13785.787
5/2/2021,13632.312
6/2/2021,14354.132
7/2/2021,13926.402
8/2/2021,14051.164
9/2/2021,12925.899
10/2/2021,12986.212
11/2/2021,13711.542
12/2/2021,13716.514
13/2/2021,13186.45
14/2/2021,13789.217
15/2/2021,13186.554
16/2/2021,13152.98
17/2/2021,13447.113
18/2/2021,13713.412
19/2/2021,13515.241
20/2/2021,13187.14
21/2/2021,13360.841
22/2/2021,12650.184
23/2/2021,5250.662
24/2/2021,12075.417
25/2/2021,12157.342
26/2/2021,12665.692
27/2/2021,12708.441
28/2/2021,13767.177
1/3/2021,13121.312
2/3/2021,7446.934
3/3/2021,8177.165
4/3/2021,12292.787
5/3/2021,13776.031
6/3/2021,13326.031
7/3/2021,10397.289
8/3/2021,11374.998
9/3/2021,13475.601
10/3/2021,14154.068
11/3/2021,14248.806
12/3/2021,8454.764
13/3/2021,10174.577
14/3/2021,14669.111
15/3/2021,10243.381
16/3/2021,10992.787
17/3/2021,6369.461
18/3/2021,8689.526
19/3/2021,8960.607
20/3/2021,8041.9
21/3/2021,9284.335
22/3/2021,7792.417
23/3/2021,7902.013
24/3/2021,5635.15
25/3/2021,7122.127
26/3/2021,7168.265
27/3/2021,6499.816
28/3/2021,6677.076
29/3/2021,6753.245
30/3/2021,7724.46
31/3/2021,6884.622
1/4/2021,5001.828
2/4/2021,5050.163
3/4/2021,6542.045
4/4/2021,5065.423
5/4/2021,6795.015
6/4/2021,6376.158
7/4/2021,5890.667
8/4/2021,6159.834
9/4/2021,5548.774
10/4/2021,5925.131
11/4/2021,5379.995
12/4/2021,6177.355
13/4/2021,6819.14
14/4/2021,7404.851
15/4/2021,8013.92
16/4/2021,9088.726
17/4/2021,7926.905
18/4/2021,5743.419
19/4/2021,6341.415
20/4/2021,5548.783
21/4/2021,6737.78
22/4/2021,7094.855
23/4/2021,7171.022
24/4/2021,7476.873
25/4/2021,8224.945
26/4/2021,8245.624
27/4/2021,6205.978
28/4/2021,6202.57
29/4/2021,8565.561
30/4/2021,7926.831
1/5/2021,7926.828
2/5/2021,5015.973
3/5/2021,6697.933
4/5/2021,10106.705
5/5/2021,5956.203
6/5/2021,7926.816
7/5/2021,8239.076
8/5/2021,7065.578
9/5/2021,10182.527
10/5/2021,8469.988
11/5/2021,8558.217
12/5/2021,7232.186
13/5/2021,8788.095
14/5/2021,9181.679
15/5/2021,8927.676
16/5/2021,11328.471
17/5/2021,8113.97
18/5/2021,11943.662
19/5/2021,10378.211
20/5/2021,6560.312
21/5/2021,4968.941
22/5/2021,7134.145
23/5/2021,4753.381
24/5/2021,7196.715
25/5/2021,7243.103
26/5/2021,4756.078
27/5/2021,4591.614
28/5/2021,6031.916
29/5/2021,6166.038
30/5/2021,6237.53
31/5/2021,7195.435
1/6/2021,4839.811
2/6/2021,6341.462
3/6/2021,7254.632
4/6/2021,6549.851
5/6/2021,7166.03
6/6/2021,8072.587
7/6/2021,7681.403
8/6/2021,7707.851
9/6/2021,4225.245
10/6/2021,8111.213
11/6/2021,11188.206
12/6/2021,6433.963
13/6/2021,6527.57
14/6/2021,6547.817
15/6/2021,8706.069
16/6/2021,8273.54
17/6/2021,5158
18/6/2021,9088.625
19/6/2021,8412.776
20/6/2021,8350.741
21/6/2021,7982.233
22/6/2021,7128.286
23/6/2021,10572.32
24/6/2021,9908.535
25/6/2021,9770.56
26/6/2021,11540.428
27/6/2021,11338.93
28/6/2021,10063.604
29/6/2021,10619.192
30/6/2021,8907.802
1/7/2021,5295.771
2/7/2021,8686.77
3/7/2021,10110.429
4/7/2021,10593.403
5/7/2021,11067.031
6/7/2021,6392.249
7/7/2021,10310.391
8/7/2021,9995.322
9/7/2021,8099.15
10/7/2021,9088.875
11/7/2021,10601.29
12/7/2021,10191.155
13/7/2021,11717.919
14/7/2021,9339.458
15/7/2021,8479.293
16/7/2021,8543.426
17/7/2021,5824.611
18/7/2021,5234.902
19/7/2021,5565.122
20/7/2021,6102.755
21/7/2021,10281.096
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
