time,valueA,valueB,valueC
3/23/2023,"27,381","28,732","27,041"
3/22/2023,"28,117","28,796","26,700"
3/21/2023,"28,047","28,462","27,421"
3/20/2023,"27,963","28,502","27,201"
3/19/2023,"27,413","28,432","26,912"
3/18/2023,"26,791","27,788","26,791"
3/17/2023,"24,701","26,991","24,701"
3/16/2023,"24,369","25,187","24,215"
3/15/2023,"24,674","25,260","23,989"
3/14/2023,"24,126","26,425","23,951"
3/13/2023,"21,403","24,538","21,255"
3/12/2023,"20,453","21,432","20,392"
3/11/2023,"20,096","20,784","19,889"
3/10/2023,"20,244","20,475","19,594"
3/9/2023,"22,005","22,005","20,125"
3/8/2023,"22,050","22,267","21,883"
3/7/2023,"22,404","22,529","21,971"
3/6/2023,"22,482","22,571","22,313"
3/5/2023,"22,226","22,633","22,215"
3/4/2023,"22,246","22,411","22,170"
3/3/2023,"23,417","23,549","22,111"
3/2/2023,"23,542","23,783","23,219"
3/1/2023,"23,142","23,942","23,046"
2/28/2023,"23,386","23,613","23,056"
2/27/2023,"23,564","23,869","23,172"
2/26/2023,"22,951","23,677","22,931"
2/25/2023,"23,131","23,241","22,802"
2/24/2023,"23,897","24,118","22,934"
2/23/2023,"23,804","24,592","23,623"
2/22/2023,"24,183","24,468","23,604"
2/21/2023,"24,762","25,147","24,183"
