time,valueA,valueB,valueC
3/23/2023,"27,381","28,732","27,041"
3/22/2023,"28,117","28,796","26,700"
3/21/2023,"28,047","28,462","27,421"
3/20/2023,"27,963","28,502","27,201"
3/19/2023,"27,413","28,432","26,912"
3/18/2023,"26,791","27,788","26,791"
3/17/2023,"24,701","26,991","24,701"
3/16/2023,"24,369","25,187","24,215"
3/15/2023,"24,674","25,260","23,989"
3/14/2023,"24,126","26,425","23,951"
3/13/2023,"21,403","24,538","21,255"
3/12/2023,"20,453","21,432","20,392"
3/11/2023,"20,096","20,784","19,889"
3/10/2023,"20,244","20,475","19,594"
3/9/2023,"22,005","22,005","20,125"
3/8/2023,"22,050","22,267","21,883"
3/7/2023,"22,404","22,529","21,971"
3/6/2023,"22,482","22,571","22,313"
3/5/2023,"22,226","22,633","22,215"
3/4/2023,"22,246","22,411","22,170"
3/3/2023,"23,417","23,549","22,111"
3/2/2023,"23,542","23,783","23,219"
3/1/2023,"23,142","23,942","23,046"
2/28/2023,"23,386","23,613","23,056"
2/27/2023,"23,564","23,869","23,172"
2/26/2023,"22,951","23,677","22,931"
2/25/2023,"23,131","23,241","22,802"
2/24/2023,"23,897","24,118","22,934"
2/23/2023,"23,804","24,592","23,623"
2/22/2023,"24,183","24,468","23,604"
2/21/2023,"24,762","25,147","24,183"
2/20/2023,"24,544","25,098","23,896"
2/19/2023,"24,624","25,175","24,308"
2/18/2023,"24,593","24,839","24,116"
2/17/2023,"24,520","24,987","23,382"
2/16/2023,"24,173","25,193","24,145"
2/15/2023,"22,251","24,189","22,066"
2/14/2023,"21,624","22,304","21,611"
2/13/2023,"21,739","21,894","21,437"
2/12/2023,"21,829","22,086","21,714"
2/11/2023,"21,543","21,839","21,527"
2/10/2023,"21,841","21,940","21,507"
2/9/2023,"22,960","22,999","21,757"
2/8/2023,"23,191","23,405","22,711"
2/7/2023,"22,918","23,297","22,650"
2/6/2023,"22,896","23,150","22,643"
2/5/2023,"23,417","23,452","22,782"
2/4/2023,"23,380","23,575","23,278"
2/3/2023,"23,598","23,706","23,244"
2/2/2023,"23,678","24,205","23,581"
2/1/2023,"22,950","23,789","22,820"
1/31/2023,"22,743","23,182","22,549"
1/30/2023,"23,792","23,870","22,644"
1/29/2023,"23,005","23,940","22,975"
1/28/2023,"23,097","23,184","22,900"
1/27/2023,"23,072","23,478","22,587"
1/26/2023,"23,576","23,762","22,856"
1/25/2023,"22,903","23,641","22,358"
1/24/2023,"22,989","23,158","22,783"
1/23/2023,"22,599","23,137","22,550"
1/22/2023,"23,199","23,215","22,357"
1/21/2023,"22,336","23,318","22,328"
1/20/2023,"20,941","22,387","20,887"
1/19/2023,"20,772","21,162","20,659"
1/18/2023,"21,330","21,532","20,502"
1/17/2023,"21,130","21,427","20,906"
1/16/2023,"20,898","21,413","20,700"
1/15/2023,"20,900","21,066","20,577"
1/14/2023,"19,818","21,204","19,751"
1/13/2023,"18,836","19,866","18,727"
1/12/2023,"17,556","19,051","17,517"
1/11/2023,"17,475","17,570","17,323"
1/10/2023,"17,190","17,489","17,134"
1/9/2023,"16,955","17,399","16,952"
1/8/2023,"16,943","17,007","16,913"
1/7/2023,"16,929","16,981","16,909"
1/6/2023,"16,846","17,002","16,698"
1/5/2023,"16,821","16,846","16,771"
1/4/2023,"16,667","16,980","16,641"
1/3/2023,"16,725","16,799","16,609"
1/2/2023,"16,591","16,758","16,544"
1/1/2023,"16,549","16,617","16,491"
12/31/2022,"16,576","16,634","16,541"
12/30/2022,"16,599","16,644","16,340"
12/29/2022,"16,517","16,656","16,478"
12/28/2022,"16,698","16,759","16,478"
12/27/2022,"16,821","16,957","16,603"
12/26/2022,"16,823","16,910","16,794"
12/25/2022,"16,836","16,863","16,744"
12/24/2022,"16,815","16,865","16,765"
12/23/2022,"16,791","16,900","16,769"
12/22/2022,"16,790","16,862","16,569"
12/21/2022,"16,883","16,923","16,729"
12/20/2022,"16,583","17,023","16,300"
12/19/2022,"16,750","16,820","16,499"
12/18/2022,"16,709","16,796","16,671"
12/17/2022,"16,835","16,869","16,534"
