date,value
3-23-2023,27381
3-22-2023,28117
3-21-2023,28047
3-20-2023,27963
3-19-2023,27413
3-18-2023,26791
3-17-2023,24701
3-16-2023,24369
3-15-2023,24674
3-14-2023,24126
3-13-2023,21403
3-12-2023,20453
3-11-2023,20096
3-10-2023,20244
3-9-2023,22005
3-8-2023,22050
3-7-2023,22404
3-6-2023,22482
3-5-2023,22226
3-4-2023,22246
3-3-2023,23417
3-2-2023,23542
3-1-2023,23142
2-28-2023,23386
2-27-2023,23564
2-26-2023,22951
2-25-2023,23131
2-24-2023,23897
2-23-2023,23804
2-22-2023,24183
2-21-2023,24762
2-20-2023,24544
2-19-2023,24624
2-18-2023,24593
2-17-2023,24520
2-16-2023,24173
2-15-2023,22251
2-14-2023,21624
2-13-2023,21739
2-12-2023,21829
2-11-2023,21543
2-10-2023,21841
2-9-2023,22960
2-8-2023,23191
2-7-2023,22918
2-6-2023,22896
2-5-2023,23417
2-4-2023,23380
2-3-2023,23598
2-2-2023,23678
2-1-2023,22950
1-31-2023,22743
1-30-2023,23792
1-29-2023,23005
1-28-2023,23097
1-27-2023,23072
1-26-2023,23576
1-25-2023,22903
1-24-2023,22989
1-23-2023,22599
1-22-2023,23199
1-21-2023,22336
1-20-2023,20941
1-19-2023,20772
1-18-2023,21330
1-17-2023,21130
1-16-2023,20898
1-15-2023,20900
1-14-2023,19818
1-13-2023,18836
1-12-2023,17556
1-11-2023,17475
1-10-2023,17190
1-9-2023,16955
1-8-2023,16943
1-7-2023,16929
1-6-2023,16846
1-5-2023,16821
1-4-2023,16667
1-3-2023,16725
1-2-2023,16591
1-1-2023,16549
12-31-2021,16576
12-30-2021,16599
12-29-2021,16517
12-28-2021,16698
12-27-2021,16821
12-26-2021,16823
12-25-2021,16836
12-24-2021,16815
12-23-2021,16791
12-22-2021,16790
12-21-2021,16883
12-20-2021,16583
12-19-2021,16750
12-18-2021,16709
12-17-2021,16835
12-16-2021,17384
12-15-2021,17818
12-14-2021,17764
12-13-2021,17153
12-12-2021,17109
12-11-2021,17129
12-10-2021,17109
12-9-2021,17178
12-8-2021,16833
12-7-2021,16994
12-6-2021,16970
12-5-2021,17113
12-4-2021,16957
12-3-2021,17016
12-2-2021,16931
12-1-2021,17102
11-30-2021,16454
11-29-2021,16193
11-28-2021,16570
11-27-2021,16507
11-26-2021,16503
11-25-2021,16537
11-24-2021,16482
11-23-2021,16137
11-22-2021,15602
11-21-2021,16251
11-20-2021,16665
11-19-2021,16640
11-18-2021,16681
11-17-2021,16538
11-16-2021,16880
11-15-2021,16393
11-14-2021,16380
11-13-2021,16793
11-12-2021,16773
11-11-2021,17807
11-10-2021,15788
11-9-2021,18711
11-8-2021,20667
11-7-2021,21132
11-6-2021,21367
11-5-2021,21147
11-4-2021,20240
11-3-2021,20192
11-2-2021,20481
11-1-2021,20407
10-31-2021,20683
10-30-2021,20865
10-29-2021,20634
