date,value
3-23-2023,13814.943
3-22-2023,13575.305
3-21-2023,13726.69
3-20-2023,3010.63
3-19-2023,11919.029
3-18-2023,12838.092
3-17-2023,13772.31
3-16-2023,11143.239
3-15-2023,13080.311
3-14-2023,9908.135
3-13-2023,13785.787
3-12-2023,1033.589
3-11-2023,13785.787
3-10-2023,13685.949
3-9-2023,14134.77
3-8-2023,14304.868
3-7-2023,13773.272
3-6-2023,704.173
3-5-2023,14315.767
3-4-2023,14199.155
3-3-2023,14655.433
3-2-2023,13673.882
3-1-2023,13822.056
2-28-2023,12274.307
2-27-2023,13786.052
2-26-2023,13785.787
2-25-2023,13785.787
2-24-2023,10911.106
2-23-2023,11409.118
2-22-2023,13785.851
2-21-2023,13297.952
2-20-2023,13772.691
2-19-2023,13785.943
2-18-2023,13760.886
2-17-2023,13784.367
2-16-2023,14169.032
2-15-2023,13638.086
2-14-2023,13785.787
2-13-2023,13613.465
2-12-2023,13768.978
2-11-2023,13785.787
2-10-2023,12692.407
2-9-2023,13785.787
2-8-2023,13667.574
2-7-2023,13710.285
2-6-2023,13821.622
2-5-2023,13785.787
2-4-2023,0.138
2-3-2023,13146.236
2-2-2023,13505.073
2-1-2023,13304.973
1-31-2023,13785.545
1-30-2023,12259.717
1-29-2023,13475.479
1-28-2023,13938.382
1-27-2023,13668.608
1-26-2023,13646.551
1-25-2023,13869.508
1-24-2023,13785.787
1-23-2023,13812.835
1-22-2023,13785.945
1-21-2023,13368.961
1-20-2023,14150.203
1-19-2023,13785.787
1-18-2023,13632.312
1-17-2023,14354.132
1-16-2023,13926.402
1-15-2023,14051.164
1-14-2023,12925.899
1-13-2023,12986.212
1-12-2023,13711.542
1-11-2023,13716.514
1-10-2023,13186.45
1-9-2023,13789.217
1-8-2023,13186.554
1-7-2023,13152.98
1-6-2023,13447.113
1-5-2023,13713.412
1-4-2023,13515.241
1-3-2023,13187.14
1-2-2023,13360.841
1-1-2023,12650.184
12-31-2022,5250.662
12-30-2022,12075.417
12-29-2022,12157.342
12-28-2022,12665.692
12-27-2022,12708.441
12-26-2022,13767.177
12-25-2022,13121.312
12-24-2022,7446.934
12-23-2022,8177.165
12-22-2022,12292.787
12-21-2022,13776.031
12-20-2022,13326.031
12-19-2022,10397.289
12-18-2022,11374.998
12-17-2022,13475.601
12-16-2022,14154.068
12-15-2022,14248.806
12-14-2022,8454.764
12-13-2022,10174.577
12-12-2022,14669.111
12-11-2022,10243.381
12-10-2022,10992.787
12-9-2022,6369.461
12-8-2022,8689.526
12-7-2022,8960.607
12-6-2022,8041.9
12-5-2022,9284.335
12-4-2022,7792.417
12-3-2022,7902.013
12-2-2022,5635.15
12-1-2022,7122.127
11-30-2022,7168.265
11-29-2022,6499.816
11-28-2022,6677.076
11-27-2022,6753.245
11-26-2022,7724.46
11-25-2022,6884.622
11-24-2022,5001.828
11-23-2022,5050.163
11-22-2022,6542.045
11-21-2022,5065.423
11-20-2022,6795.015
11-19-2022,6376.158
11-18-2022,5890.667
11-17-2022,6159.834
11-16-2022,5548.774
11-15-2022,5925.131
11-14-2022,5379.995
11-13-2022,6177.355
11-12-2022,6819.14
11-11-2022,7404.851
11-10-2022,8013.92
11-9-2022,9088.726
11-8-2022,7926.905
11-7-2022,5743.419
11-6-2022,6341.415
11-5-2022,5548.783
11-4-2022,6737.78
11-3-2022,7094.855
11-2-2022,7171.022
11-1-2022,7476.873
10-31-2022,8224.945
10-30-2022,8245.624
10-29-2022,6205.978
10-28-2022,6202.57
10-27-2022,8565.561
10-26-2022,7926.831
10-25-2022,7926.828
10-24-2022,5015.973
10-23-2022,6697.933
10-22-2022,10106.705
10-21-2022,5956.203
10-20-2022,7926.816
10-19-2022,8239.076
10-18-2022,7065.578
10-17-2022,10182.527
10-16-2022,8469.988
10-15-2022,8558.217
10-14-2022,7232.186
10-13-2022,8788.095
10-12-2022,9181.679
10-11-2022,8927.676
10-10-2022,11328.471
10-9-2022,8113.97
10-8-2022,11943.662
10-7-2022,10378.211
10-6-2022,6560.312
10-5-2022,4968.941
10-4-2022,7134.145
10-3-2022,4753.381
10-2-2022,7196.715
10-1-2022,7243.103
9-30-2022,4756.078
9-29-2022,4591.614
9-28-2022,6031.916
9-27-2022,6166.038
9-26-2022,6237.53
9-25-2022,7195.435
9-24-2022,4839.811
9-23-2022,6341.462
9-22-2022,7254.632
9-21-2022,6549.851
9-20-2022,7166.03
9-19-2022,8072.587
9-18-2022,7681.403
9-17-2022,7707.851
9-16-2022,4225.245
9-15-2022,8111.213
9-14-2022,11188.206
9-13-2022,6433.963
9-12-2022,6527.57
9-11-2022,6547.817
9-10-2022,8706.069
9-9-2022,8273.54
9-8-2022,5158
9-7-2022,9088.625
9-6-2022,8412.776
9-5-2022,8350.741
9-4-2022,7982.233
9-3-2022,7128.286
9-2-2022,10572.32
9-1-2022,9908.535
8-31-2022,9770.56
8-30-2022,11540.428
8-29-2022,11338.93
8-28-2022,10063.604
8-27-2022,10619.192
8-26-2022,8907.802
8-25-2022,5295.771
8-24-2022,8686.77
8-23-2022,10110.429
8-22-2022,10593.403
8-21-2022,11067.031
8-20-2022,6392.249
8-19-2022,10310.391
8-18-2022,9995.322
8-17-2022,8099.15
8-16-2022,9088.875
8-15-2022,10601.29
8-14-2022,10191.155
8-13-2022,11717.919
8-12-2022,9339.458
8-11-2022,8479.293
8-10-2022,8543.426
8-9-2022,5824.611
8-8-2022,5234.902
8-7-2022,5565.122
8-6-2022,6102.755
8-5-2022,10281.096
